,skills,job_id
0,source code code review react js reinforcement banking unit tests unit tests tests code java java docker jenkins sonar,00048656-a332-444c-9a75-f46c09341290
1,childcare childcare patience,000a80de-d5fc-4c5a-8741-ac75977d4dfb
2,data science job description embed c back end front end computer science node js web framework public transport reach innovation transformation react software coded node react documentation technical documentation technical technical react jquery typescript personalized integration imagine management,0012f4d9-7fc8-4b8b-8b86-77174039010e
3,liability insurance value chain adp reinsurance consulting brokerage transformation consulting mobility reinsurance sales production manager m scale production manager templates registration liquidation brokerage writing,001e3552-73f1-4e38-ac4d-a6423fee4cbb
4,c # back end job description c # mvc net team foundation server software developer javascript jquery git remuneration scale,00268d83-4cef-45d2-929e-7e68546f01d1
5,digital technology job description front end back end digital marketing user experience api management application development c # entity framework microsoft sql server career development digital transformation crm technical community innovation cybersecurity target typescript personal development cse development architecture scrum curiosity integration disabilities,0028cbf4-59f4-4b3e-80c0-80cca55df55e
6,retail banking public transport cloud operation operational excellence azure devops capacity planning quality monitoring continuous improvement process computer science analytical skill public cloud public transport integration international community cloud administrator cloud administrator operations operational conditions industrialization devops devops cloud administrators safe terraform operations maintenance operations operational conditions operations production quality operations devops industrialization automation operations documentary terraform concierge,0047f85b-f405-4b9f-ad2f-cf1431749c12
7,category development job description front end back end application development operational maintenance web tool front end google cloud web language big datum career development digital transformation html css technical community m python developed applications write technical technical develop web read personal development cse python gitlab github docker linux postgresql mysql english disabilities python,005d65c1-2484-4005-a427-4cd560ace694
8,c # back end job description c # mvc net team foundation server software developer javascript jquery git remuneration scale,0067a5b7-136a-4452-8912-ba35e54ef8e2
9,collaboration educational values,006f5f4f-81d0-4578-ae45-041ae6c9c427
10,real estate civil engineering system integration operating system cloud service change request performance analysis cloud application source code change management operating system high education computer science cloud application infrastructure as code operating system window server microsoft azure shell script construction construction devops cloud services cloud services m infrastructure dip management improvement performance infrastructure infrastructure automation unit tests git hosting automation operational conditions devops tooling linux devops integration configuration manager ansible terraform jenkins gitlab cloud services python php perspective remuneration,00911249-570f-457d-9116-4fa7ae25f578
11,retail banking digital transformation digital transformation user story integration international community react integration tests writing www react,00b68d2e-67bd-44f5-a43e-f0f8a994e08b
12,job description software development software development life cycle java java scale java java java,00d06ad1-1baa-4c12-ae3e-a294604e56ff
13,microsoft 365 continuous delivery vmware virtualization emerge technology siem com banking devops infrastructure devops cloud engineer m management hosting hosting automate infrastructure cloud services cloud services windows servers azuread manage infrastructure infrastructure technical referents team manager banking team manager devops resource manager integration www,00d4d64e-c5dc-4358-834b-00c3b47e2ac9
14,childcare childcare patience,00d898ca-807d-4c19-87f4-231f30253b51
15,job description com french e learning platform contract finally management personalized integration integration process integration process b agility disabilities testimony www,00db4f1a-152b-48fe-b067-13f60d70fc92
16,technical documentation computer science web development java frameworks spring hibernate javascript jquery postgresql sql,00fc6ca1-d7ff-4694-aca7-6ed8dfff6723
17,digital technology job description digital technology user experience project implementation agile methodology digital transformation agile methodology agile project sprint planning customer satisfaction career management agile management data architecture big datum career development digital transformation crm consulting innovation innovation big data cybersecurity banking innovation design build refinement jira management scrum safe data transformation leadership disabilities,0104cb4f-a760-495b-8b46-5fd50c1bd95a
18,e commerce need analysis asp net c # transact sql api scale banking scale angular rest api sql transact adaptability,01158f20-d5e4-45ab-bdd6-8a4c4ed5cf1d
19,liability insurance value chain datum dictionary vis vis reinsurance consulting brokerage transformation consulting mobility reinsurance sales m imagine m phase hr consulting finance industrialization practices scalability french sql alteryx tableau alteryx tableau management design tableau tableau brokerage finance teamwork reliability empathy management,0118eb04-7d78-4caa-b4e5-3718e531b2d1
20,data management information system decision make data management e commerce data governance high education computer science crm bpm etl etl research dissemination research dissemination innovation structures systems integration decision making m collaboration m analytics operational conditions leadership sales accounting data manage collaboration management data quality marketing data data governance management required curiosity experimentation analytics microstrategy eai python sql collaborative tools curiosity,0119c853-77c9-42fe-b9f4-06ad1f73a199
21,job description c # xamarin form corrective maintenance technical documentation development environment c # window mobile asp write technical tools uml git,012b5d39-3bcd-4009-a0e4-aa8dd4144828
22,digital technology job description digital technology user experience career development digital transformation crm gcp consulting innovation innovation big data cybersecurity banking innovation transformation transformation writing terraform cloudformation containerization docker systemd kubernetes disabilities,012f967b-f8d3-4f47-9c5c-7344c9ff7204
23,job description listening skill computer science microsoft office microsoft office 365 active directory microsoft azure lynx nice m lynx transparency integration consulting design architecture writing troubleshooting telecommuting ad fs citrix citrix netscaler adc,013f79da-2728-4c18-a7b5-93f7f22b2750
24,category development job description energy transport supply chain career development technical support apache http server career development information technology management consulting management consulting system integration business process business process management process management intellectual property service delivery digital transformation shell script digital transformation sso com software production software production finance telecommunications digitization scrum developing business linux python django python django angular linux postgresql jenkins sonar docker disabilities collaboration angular django linux postgresql python,0148bc2b-ef01-4ac9-968f-8836700c5798
25,data management information system decision make data management e commerce data governance high education computer science crm bpm etl etl research dissemination research dissemination innovation structures systems integration decision making m collaboration m analytics operational conditions leadership sales accounting data manage collaboration management data quality marketing data data governance management required curiosity experimentation analytics microstrategy eai python sql collaborative tools curiosity,014b8cca-5eab-43ec-8664-6918e9980430
26,retail banking public transport cloud operation operational excellence azure devops capacity planning quality monitoring continuous improvement process computer science analytical skill public cloud public transport integration international community cloud administrator cloud administrator operations operational conditions industrialization devops devops cloud administrators safe terraform operations maintenance operations operational conditions operations production quality operations devops industrialization automation operations documentary terraform concierge,015ef4ee-364d-4c98-82af-6ce7c124e898
27,digital technology job description front end back end digital marketing user experience api management project implementation digital transformation web service career development web service career development digital transformation crm case technical community innovation cybersecurity python innovation python prototyping python django flask infrastructure automated tests automated tests tests perform integration consulting personal development cse python milestones python devops git disabilities french python,016799c9-48b9-4716-873f-a08a948ebcd3
28,web project acceptance testing service provider computer science web development web development back end php framework html css html css logistics web developer en programming security infrastructure hosting mysql javascript operational conditions javascript symfony,0180d0fc-0895-4b1f-8c2d-9ff6d7db105d
